Barry Bonds	1986	16
Barry Bonds	1987	25
Barry Bonds	1988	24
Barry Bonds	1989	19
Barry Bonds	1990	33
Barry Bonds	1991	25
Barry Bonds	1992	34
Barry Bonds	1993	46
Barry Bonds	1994	37
Barry Bonds	1995	33
Barry Bonds	1996	42
Barry Bonds	1997	40
Barry Bonds	1998	37
Barry Bonds	1999	34
Barry Bonds	2000	49
Barry Bonds	2001	73
Barry Bonds	2002	46
Barry Bonds	2003	45
Barry Bonds	2004	45
Barry Bonds	2005	5
Barry Bonds	2006	26
Barry Bonds	2007	28
Hank Aaron	1954	13
Hank Aaron	1955	27
Hank Aaron	1956	26
Hank Aaron	1957	44
Hank Aaron	1958	30
Hank Aaron	1959	39
Hank Aaron	1960	40
Hank Aaron	1961	34
Hank Aaron	1962	45
Hank Aaron	1963	44
Hank Aaron	1964	24
Hank Aaron	1965	32
Hank Aaron	1966	44
Hank Aaron	1967	39
Hank Aaron	1968	29
Hank Aaron	1969	44
Hank Aaron	1970	38
Hank Aaron	1971	47
Hank Aaron	1972	34
Hank Aaron	1973	40
Hank Aaron	1974	20
Hank Aaron	1975	12
Hank Aaron	1976	10
Babe Ruth	1914	0
Babe Ruth	1915	4
Babe Ruth	1916	3
Babe Ruth	1917	2
Babe Ruth	1918	11
Babe Ruth	1919	29
Babe Ruth	1920	54
Babe Ruth	1921	59
Babe Ruth	1922	35
Babe Ruth	1923	41
Babe Ruth	1924	46
Babe Ruth	1925	25
Babe Ruth	1926	47
Babe Ruth	1927	60
Babe Ruth	1928	54
Babe Ruth	1929	46
Babe Ruth	1930	49
Babe Ruth	1931	46
Babe Ruth	1932	41
Babe Ruth	1933	34
Babe Ruth	1934	22
Babe Ruth	1935	6
Albert Pujols	2001	37
Albert Pujols	2002	34
Albert Pujols	2003	43
Albert Pujols	2004	46
Albert Pujols	2005	41
Albert Pujols	2006	49
Albert Pujols	2007	32
Albert Pujols	2008	37
Albert Pujols	2009	47
Albert Pujols	2010	42
Albert Pujols	2011	37
Albert Pujols	2012	30
Albert Pujols	2013	17
Albert Pujols	2014	28
Albert Pujols	2015	40
Albert Pujols	2016	31
Albert Pujols	2017	23
Albert Pujols	2018	19
Albert Pujols	2019	23
Albert Pujols	2020	6
Albert Pujols	2021	17
Albert Pujols	2022	24
Alex Rodriguez	1994	0
Alex Rodriguez	1995	5
Alex Rodriguez	1996	36
Alex Rodriguez	1997	23
Alex Rodriguez	1998	42
Alex Rodriguez	1999	42
Alex Rodriguez	2000	41
Alex Rodriguez	2001	52
Alex Rodriguez	2002	57
Alex Rodriguez	2003	47
Alex Rodriguez	2004	36
Alex Rodriguez	2005	48
Alex Rodriguez	2006	35
Alex Rodriguez	2007	54
Alex Rodriguez	2008	35
Alex Rodriguez	2009	30
Alex Rodriguez	2010	30
Alex Rodriguez	2011	16
Alex Rodriguez	2012	18
Alex Rodriguez	2013	7
Alex Rodriguez	2015	33
Alex Rodriguez	2016	9
Willie Mays	1948	0
Willie Mays	1951	20
Willie Mays	1952	4
Willie Mays	1954	41
Willie Mays	1955	51
Willie Mays	1956	36
Willie Mays	1957	35
Willie Mays	1958	29
Willie Mays	1959	34
Willie Mays	1960	29
Willie Mays	1961	40
Willie Mays	1962	49
Willie Mays	1963	38
Willie Mays	1964	47
Willie Mays	1965	52
Willie Mays	1966	37
Willie Mays	1967	22
Willie Mays	1968	23
Willie Mays	1969	13
Willie Mays	1970	28
Willie Mays	1971	18
Willie Mays	1972	8
Willie Mays	1973	6
Ken Griffey	1989	16
Ken Griffey	1990	22
Ken Griffey	1991	22
Ken Griffey	1992	27
Ken Griffey	1993	45
Ken Griffey	1994	40
Ken Griffey	1995	17
Ken Griffey	1996	49
Ken Griffey	1997	56
Ken Griffey	1998	56
Ken Griffey	1999	48
Ken Griffey	2000	40
Ken Griffey	2001	22
Ken Griffey	2002	8
Ken Griffey	2003	13
Ken Griffey	2004	20
Ken Griffey	2005	35
Ken Griffey	2006	27
Ken Griffey	2007	30
Ken Griffey	2008	18
Ken Griffey	2009	19
Ken Griffey	2010	0
Jim Thome	1991	1
Jim Thome	1992	2
Jim Thome	1993	7
Jim Thome	1994	20
Jim Thome	1995	25
Jim Thome	1996	38
Jim Thome	1997	40
Jim Thome	1998	30
Jim Thome	1999	33
Jim Thome	2000	37
Jim Thome	2001	49
Jim Thome	2002	52
Jim Thome	2003	47
Jim Thome	2004	42
Jim Thome	2005	7
Jim Thome	2006	42
Jim Thome	2007	35
Jim Thome	2008	34
Jim Thome	2009	23
Jim Thome	2010	25
Jim Thome	2011	15
Jim Thome	2012	8
Sammy Sosa	1989	4
Sammy Sosa	1990	15
Sammy Sosa	1991	10
Sammy Sosa	1992	8
Sammy Sosa	1993	33
Sammy Sosa	1994	25
Sammy Sosa	1995	36
Sammy Sosa	1996	40
Sammy Sosa	1997	36
Sammy Sosa	1998	66
Sammy Sosa	1999	63
Sammy Sosa	2000	50
Sammy Sosa	2001	64
Sammy Sosa	2002	49
Sammy Sosa	2003	40
Sammy Sosa	2004	35
Sammy Sosa	2005	14
Sammy Sosa	2007	21
Frank Robinson	1956	38
Frank Robinson	1957	29
Frank Robinson	1958	31
Frank Robinson	1959	36
Frank Robinson	1960	31
Frank Robinson	1961	37
Frank Robinson	1962	39
Frank Robinson	1963	21
Frank Robinson	1964	29
Frank Robinson	1965	33
Frank Robinson	1966	49
Frank Robinson	1967	30
Frank Robinson	1968	15
Frank Robinson	1969	32
Frank Robinson	1970	25
Frank Robinson	1971	28
Frank Robinson	1972	19
