Walter Johnson	1914	225
Walter Johnson	1915	203
Walter Johnson	1916	228
Walter Johnson	1917	188
Walter Johnson	1918	162
Walter Johnson	1919	147
Walter Johnson	1920	78
Walter Johnson	1921	143
Walter Johnson	1922	105
Walter Johnson	1923	130
Walter Johnson	1924	158
Walter Johnson	1925	108
Walter Johnson	1926	125
Walter Johnson	1927	48
Max Scherzer	2008	66
Max Scherzer	2009	174
Max Scherzer	2010	184
Max Scherzer	2011	174
Max Scherzer	2012	231
Max Scherzer	2013	240
Max Scherzer	2014	252
Max Scherzer	2015	276
Max Scherzer	2016	284
Max Scherzer	2017	268
Max Scherzer	2018	300
Max Scherzer	2019	243
Max Scherzer	2020	92
Max Scherzer	2021	236
Max Scherzer	2022	173
Max Scherzer	2023	174
Max Scherzer	2024	40
Max Scherzer	2025	82
Greg Maddux	1986	20
Greg Maddux	1987	101
Greg Maddux	1988	140
Greg Maddux	1989	135
Greg Maddux	1990	144
Greg Maddux	1991	198
Greg Maddux	1992	199
Greg Maddux	1993	197
Greg Maddux	1994	156
Greg Maddux	1995	181
Greg Maddux	1996	172
Greg Maddux	1997	177
Greg Maddux	1998	204
Greg Maddux	1999	136
Greg Maddux	2000	190
Greg Maddux	2001	173
Greg Maddux	2002	118
Greg Maddux	2003	124
Greg Maddux	2004	151
Greg Maddux	2005	136
Greg Maddux	2006	117
Greg Maddux	2007	104
Greg Maddux	2008	98
Phil Niekro	1964	8
Phil Niekro	1965	49
Phil Niekro	1966	17
Phil Niekro	1967	129
Phil Niekro	1968	140
Phil Niekro	1969	193
Phil Niekro	1970	168
Phil Niekro	1971	173
Phil Niekro	1972	164
Phil Niekro	1973	131
Phil Niekro	1974	195
Phil Niekro	1975	144
Phil Niekro	1976	173
Phil Niekro	1977	262
Phil Niekro	1978	248
Phil Niekro	1979	208
Phil Niekro	1980	176
Phil Niekro	1981	62
Phil Niekro	1982	144
Phil Niekro	1983	128
Phil Niekro	1984	136
Phil Niekro	1985	149
Phil Niekro	1986	81
Phil Niekro	1987	64
Fergie Jenkins	1965	10
Fergie Jenkins	1966	150
Fergie Jenkins	1967	236
Fergie Jenkins	1968	260
Fergie Jenkins	1969	273
Fergie Jenkins	1970	274
Fergie Jenkins	1971	263
Fergie Jenkins	1972	184
Fergie Jenkins	1973	170
Fergie Jenkins	1974	225
Fergie Jenkins	1975	157
Fergie Jenkins	1976	142
Fergie Jenkins	1977	105
Fergie Jenkins	1978	157
Fergie Jenkins	1979	164
Fergie Jenkins	1980	129
Fergie Jenkins	1981	63
Fergie Jenkins	1982	134
Fergie Jenkins	1983	96
Pedro Martinez	1992	8
Pedro Martinez	1993	119
Pedro Martinez	1994	142
Pedro Martinez	1995	174
Pedro Martinez	1996	222
Pedro Martinez	1997	305
Pedro Martinez	1998	251
Pedro Martinez	1999	313
Pedro Martinez	2000	284
Pedro Martinez	2001	163
Pedro Martinez	2002	239
Pedro Martinez	2003	206
Pedro Martinez	2004	227
Pedro Martinez	2005	208
Pedro Martinez	2006	137
Pedro Martinez	2007	32
Pedro Martinez	2008	87
Pedro Martinez	2009	37
Bob Gibson	1959	48
Bob Gibson	1960	69
Bob Gibson	1961	166
Bob Gibson	1962	208
Bob Gibson	1963	204
Bob Gibson	1964	245
Bob Gibson	1965	270
Bob Gibson	1966	225
Bob Gibson	1967	147
Bob Gibson	1968	268
Bob Gibson	1969	269
Bob Gibson	1970	274
Bob Gibson	1971	185
Bob Gibson	1972	208
Bob Gibson	1973	142
Bob Gibson	1974	129
Bob Gibson	1975	60
Curt Schilling	1988	4
Curt Schilling	1989	6
Curt Schilling	1990	32
Curt Schilling	1991	71
Curt Schilling	1992	147
Curt Schilling	1993	186
Curt Schilling	1994	58
Curt Schilling	1995	114
Curt Schilling	1996	182
Curt Schilling	1997	319
Curt Schilling	1998	300
Curt Schilling	1999	152
Curt Schilling	2000	168
Curt Schilling	2001	293
Curt Schilling	2002	316
Curt Schilling	2003	194
Curt Schilling	2004	203
Curt Schilling	2005	87
Curt Schilling	2006	183
Curt Schilling	2007	101
CC Sabathia	2001	171
CC Sabathia	2002	149
CC Sabathia	2003	141
CC Sabathia	2004	139
CC Sabathia	2005	161
CC Sabathia	2006	172
CC Sabathia	2007	209
CC Sabathia	2008	251
CC Sabathia	2009	197
CC Sabathia	2010	197
CC Sabathia	2011	230
CC Sabathia	2012	197
CC Sabathia	2013	175
CC Sabathia	2014	48
CC Sabathia	2015	137
CC Sabathia	2016	152
CC Sabathia	2017	120
CC Sabathia	2018	140
CC Sabathia	2019	107
John Smoltz	1988	37
John Smoltz	1989	168
John Smoltz	1990	170
John Smoltz	1991	148
John Smoltz	1992	215
John Smoltz	1993	208
John Smoltz	1994	113
John Smoltz	1995	193
John Smoltz	1996	276
John Smoltz	1997	241
John Smoltz	1998	173
John Smoltz	1999	156
John Smoltz	2001	57
John Smoltz	2002	85
John Smoltz	2003	73
John Smoltz	2004	85
John Smoltz	2005	169
John Smoltz	2006	211
John Smoltz	2007	197
John Smoltz	2008	36
John Smoltz	2009	73
Clayton Kershaw	2008	100
Clayton Kershaw	2009	185
Clayton Kershaw	2010	212
Clayton Kershaw	2011	248
Clayton Kershaw	2012	229
Clayton Kershaw	2013	232
Clayton Kershaw	2014	239
Clayton Kershaw	2015	301
Clayton Kershaw	2016	172
Clayton Kershaw	2017	202
Clayton Kershaw	2018	155
Clayton Kershaw	2019	189
Clayton Kershaw	2020	62
Clayton Kershaw	2021	144
Clayton Kershaw	2022	137
Clayton Kershaw	2023	137
Clayton Kershaw	2024	24
Clayton Kershaw	2025	84
